'BENIDORM CHESS OPEN “A” (SUPRA 2000)'||||||||||||||||
'Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11'||||||||||||||||
||||||||||||||||
'Clasificación   '||||||||||||||||
'Pos.'|'Torneo'|'Ran.'|'Tít.'|'Sex.'|'Nombre'|'Fed.'|'Pts.'|'DirE'|'APRO'|'BucM'|'ARO.'|'Mwns'|'MBlk'|'FIDE'|'Nac.'|'Origen/Club'
'1'|'A'|'5'|'FM'|'m'|'Saydaliev, Saidakbar'|'UZB'|'7,5'|'0.5'|'2322.0'|'39.5'|'2303.4'|'6'|'4'|'2419'|'0'|''|
'2'|'A'|'7'|'IM'|'m'|'Sattarov, Bobir'|'UZB'|'7,5'|'0.5'|'2305.9'|'36.0'|'2209.2'|'7'|'4'|'2389'|'0'|''|
'3'|'A'|'4'|'IM'|'m'|'Ajay Karthikeyan'|'IND'|'6,5'|'0.0'|'2353.7'|'39.0'|'2296.9'|'5'|'4'|'2430'|'0'|''|
'4'|'A'|'12'|'IM'|'m'|'Sarkar, Justin'|'USA'|'6,5'|'0.0'|'2353.4'|'40.5'|'2289.0'|'5'|'4'|'2343'|'0'|''|
'5'|'A'|'16'|'FM'|'f'|'Van Foreest, Machteld'|'NED'|'6,5'|'0.0'|'2264.0'|'34.5'|'2221.8'|'6'|'5'|'2309'|'0'|''|
'6'|'A'|'2'|'IM'|'m'|'Fernandez Guillen, Ernesto J.'|'CUB'|'6,0'|'0.0'|'2399.9'|'39.5'|'2292.5'|'5'|'4'|'2462'|'0'|''|
'7'|'A'|'13'||'m'|'Ilamparthi A R'|'IND'|'6,0'|'0.0'|'2292.0'|'38.0'|'2254.8'|'5'|'4'|'2336'|'0'|''|
'8'|'A'|'25'|'IM'|'m'|'Mannion, Stephen R'|'SCO'|'6,0'|'0.0'|'2259.0'|'35.5'|'2312.1'|'5'|'4'|'2229'|'0'|''|
'9'|'A'|'17'|'FM'|'f'|'Escartin Lacasa, Jose'|'ESP'|'6,0'|'0.0'|'2245.0'|'33.5'|'2146.9'|'5'|'4'|'2284'|'2297'|'Aragón'|
'10'|'A'|'1'|'GM'|'m'|'Christiansen, Johan-Sebastian'|'NOR'|'5,5'|'0.0'|'2342.1'|'39.0'|'2285.2'|'4'|'4'|'2578'|'0'|''|
'11'|'A'|'9'|'IM'|'m'|'Van Delft, Merijn'|'NED'|'5,5'|'0.0'|'2250.1'|'33.5'|'2162.6'|'4'|'4'|'2363'|'0'|''|
'12'|'A'|'29'|'FM'|'m'|'Harshad S'|'IND'|'5,5'|'0.0'|'2238.6'|'35.0'|'2251.8'|'3'|'4'|'2202'|'0'|''|
'13'|'A'|'53'||'m'|'Assylov, Miras'|'KAZ'|'5,5'|'0.0'|'2226.0'|'36.0'|'2282.2'|'3'|'4'|'2044'|'0'|''|
'14'|'A'|'27'|'FM'|'m'|'Chernikov, Vladimir'|'UKR'|'5,5'|'0.0'|'2225.2'|'36.0'|'2303.8'|'3'|'4'|'2211'|'2215'|'Comunidad Valenciana'|
'15'|'A'|'23'|'CM'|'m'|'Rajarishi Karthi'|'IND'|'5,5'|'0.0'|'2209.0'|'31.0'|'2207.8'|'5'|'4'|'2239'|'0'|''|
'16'|'A'|'30'||'f'|'Ojas Kulkarni'|'IND'|'5,5'|'0.0'|'2162.9'|'30.5'|'2168.1'|'3'|'4'|'2196'|'0'|''|
'17'|'A'|'57'||'m'|'Vignesh B'|'IND'|'5,0'|'0.0'|'2289.2'|'38.0'|'2295.1'|'4'|'4'|'2032'|'0'|''|
'18'|'A'|'14'|'FM'|'m'|'Gavarrete, Nahun'|'HON'|'5,0'|'0.0'|'2264.9'|'35.0'|'2156.0'|'2'|'5'|'2325'|'2328'|'Comunidad Valenciana'|
'19'|'A'|'21'|'WIM'|'f'|'Rakshitta Ravi'|'IND'|'5,0'|'0.0'|'2259.4'|'33.5'|'2157.3'|'5'|'5'|'2242'|'0'|''|
'20'|'A'|'18'|'FM'|'m'|'Ram Aravind L N'|'IND'|'5,0'|'0.0'|'2250.6'|'33.5'|'2235.2'|'3'|'4'|'2272'|'0'|''|
'21'|'A'|'36'|'CM'|'m'|'Fernandez Garcia, Gumersindo'|'ESP'|'5,0'|'0.0'|'2243.6'|'34.5'|'2248.9'|'4'|'5'|'2172'|'2192'|'Castilla y León'|
'22'|'A'|'15'|'FM'|'m'|'Kuipers, Eelco'|'NED'|'5,0'|'0.0'|'2228.4'|'32.0'|'2130.6'|'1'|'4'|'2317'|'0'|''|
'23'|'A'|'34'||'m'|'Slagboom, Leandro'|'NED'|'5,0'|'0.0'|'2190.9'|'29.5'|'2176.8'|'3'|'5'|'2177'|'0'|''|
