'PREMIOS TORNEO B'||||
'id'|'Posición'|'Torneo'|'Tipo de Premio'|'Ganador'|'Cantidad'
'1'|'1'|'B'|'General'|''|'3000'|
'2'|'2'|'B'|'General'|''|'1500'|
'3'|'3'|'B'|'General'|''|'1200'|
'4'|'4'|'B'|'General'|''|'1000'|
'5'|'5'|'B'|'General'|''|'800'|
'6'|'6'|'B'|'General'|''|'700'|
'7'|'7'|'B'|'General'|''|'600'|
'8'|'8'|'B'|'General'|''|'500'|
'9'|'9'|'B'|'General'|''|'400'|
'10'|'10'|'B'|'General'|''|'300'|
'11'|'11'|'B'|'General'|''|'250'|
'12'|'12'|'B'|'General'|''|'200'|
'13'|'13'|'B'|'General'|''|'150'|
'14'|'14'|'B'|'General'|''|'150'|
'15'|'15'|'B'|'General'|''|'150'|
'16'|'16'|'B'|'General'|''|'100'|
'17'|'17'|'B'|'General'|''|'100'|
'18'|'18'|'B'|'General'|''|'100'|
'19'|'19'|'B'|'General'|''|'100'|
'20'|'20'|'B'|'General'|''|'100'|
'21'|'21'|'B'|'General'|''|'80'|
'22'|'22'|'B'|'General'|''|'80'|
'23'|'23'|'B'|'General'|''|'80'|
'24'|'24'|'B'|'General'|''|'80'|
'25'|'25'|'B'|'General'|''|'80'|
'26'|'1'|'B'|'Comunidad Valenciana'|''|'500'|
'27'|'2'|'B'|'Comunidad Valenciana'|''|'400'|
'28'|'3'|'B'|'Comunidad Valenciana'|''|'300'|
'29'|'4'|'B'|'Comunidad Valenciana'|''|'250'|
'30'|'5'|'B'|'Comunidad Valenciana'|''|'200'|
'31'|'6'|'B'|'Comunidad Valenciana'|''|'150'|
'32'|'7'|'B'|'Comunidad Valenciana'|''|'100'|
'33'|'8'|'B'|'Comunidad Valenciana'|''|'80'|
'34'|'1'|'B'|'Sub1800'|''|'225'|
'35'|'2'|'B'|'Sub1800'|''|'150'|
'36'|'3'|'B'|'Sub1800'|''|'120'|
'37'|'4'|'B'|'Sub1800'|''|'100'|
'38'|'5'|'B'|'Sub1800'|''|'80'|
'39'|'1'|'B'|'Sub1600'|''|'225'|
'40'|'2'|'B'|'Sub1600'|''|'150'|
'41'|'3'|'B'|'Sub1600'|''|'120'|
'42'|'4'|'B'|'Sub1600'|''|'100'|
'43'|'5'|'B'|'Sub1600'|''|'80'|
'44'|'1'|'B'|'Sub1400'|''|'225'|
'45'|'2'|'B'|'Sub1400'|''|'150'|
'46'|'3'|'B'|'Sub1400'|''|'120'|
'47'|'4'|'B'|'Sub1400'|''|'100'|
'48'|'5'|'B'|'Sub1400'|''|'80'|
'49'|'1'|'B'|'Alojamiento'|''|'150'|
'50'|'2'|'B'|'Alojamiento'|''|'150'|
'51'|'3'|'B'|'Alojamiento'|''|'150'|
'52'|'4'|'B'|'Alojamiento'|''|'150'|
'53'|'5'|'B'|'Alojamiento'|''|'150'|
'54'|'6'|'B'|'Alojamiento'|''|'150'|
'55'|'7'|'B'|'Alojamiento'|''|'150'|
'56'|'8'|'B'|'Alojamiento'|''|'150'|
'57'|'9'|'B'|'Alojamiento'|''|'150'|
'58'|'10'|'B'|'Alojamiento'|''|'150'|
'59'|'11'|'B'|'Alojamiento'|''|'150'|
'60'|'12'|'B'|'Alojamiento'|''|'150'|
'61'|'13'|'B'|'Alojamiento'|''|'150'|
'62'|'14'|'B'|'Alojamiento'|''|'150'|
'63'|'15'|'B'|'Alojamiento'|''|'150'|
'64'|'16'|'B'|'Alojamiento'|''|'150'|
'65'|'17'|'B'|'Alojamiento'|''|'150'|
'66'|'18'|'B'|'Alojamiento'|''|'150'|
'67'|'19'|'B'|'Alojamiento'|''|'150'|
'68'|'20'|'B'|'Alojamiento'|''|'150'|
'69'|'21'|'B'|'Alojamiento'|''|'150'|
'70'|'22'|'B'|'Alojamiento'|''|'150'|
'71'|'23'|'B'|'Alojamiento'|''|'150'|
'72'|'24'|'B'|'Alojamiento'|''|'150'|
'73'|'25'|'B'|'Alojamiento'|''|'150'|
